,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2019-10-23,24-246,DEN,@,POR,W (+8),1,23:54,8,14,.571,3,5,.600,1,2,.500,4,9,13,2,0,0,4,4,20,14.3,+14
1,2,2019-10-25,24-248,DEN,,PHO,W (+1),1,40:32,8,18,.444,0,2,.000,7,9,.778,3,11,14,12,1,2,5,4,23,22.4,+8
2,3,2019-10-28,24-251,DEN,@,SAC,W (+7),1,28:27,4,15,.267,0,5,.000,1,1,1.000,3,10,13,2,2,1,2,4,9,5.7,-3
3,4,2019-10-29,24-252,DEN,,DAL,L (-3),1,32:56,4,8,.500,0,1,.000,2,2,1.000,2,8,10,10,3,0,4,3,10,14.6,+15
4,5,2019-10-31,24-254,DEN,@,NOP,L (-15),1,27:08,5,6,.833,0,1,.000,3,3,1.000,0,6,6,6,1,0,2,3,13,14.6,-16
5,6,2019-11-02,24-256,DEN,@,ORL,W (+4),1,31:27,7,14,.500,3,7,.429,3,4,.750,0,7,7,4,0,0,1,2,20,15.7,+14
6,7,2019-11-05,24-259,DEN,,MIA,W (+20),1,22:46,4,12,.333,1,4,.250,0,1,.000,0,5,5,5,1,1,4,4,9,2.9,+11
7,8,2019-11-08,24-262,DEN,,PHI,W (+3),1,37:47,10,22,.455,2,9,.222,4,5,.800,2,8,10,6,2,2,1,4,26,23.0,+18
8,9,2019-11-10,24-264,DEN,@,MIN,W (+2),1,35:55,9,23,.391,1,7,.143,1,3,.333,3,3,6,7,1,1,0,4,20,14.7,-2
9,10,2019-11-12,24-266,DEN,,ATL,L (-4),1,30:44,7,19,.368,1,8,.125,5,6,.833,1,5,6,7,3,0,2,2,20,16.4,-2
10,11,2019-11-14,24-268,DEN,,BRK,W (+8),1,28:02,8,14,.571,2,5,.400,0,0,,2,8,10,3,0,0,0,4,18,15.7,-2
11,12,2019-11-17,24-271,DEN,@,MEM,W (+17),1,25:34,4,7,.571,1,3,.333,0,0,,0,5,5,8,0,0,2,3,9,9.6,+22
12,13,2019-11-20,24-274,DEN,,HOU,W (+10),1,32:26,12,19,.632,2,4,.500,1,1,1.000,5,7,12,4,0,0,7,5,27,17.9,+7
13,14,2019-11-22,24-276,DEN,,BOS,W (+4),1,35:30,7,17,.412,0,4,.000,4,4,1.000,3,13,16,10,3,1,3,2,18,21.8,+10
14,15,2019-11-24,24-278,DEN,,PHO,W (+12),1,32:20,4,9,.444,0,1,.000,0,0,,4,9,13,5,2,0,1,2,8,12.5,+8
15,16,2019-11-26,24-280,DEN,,WAS,W (+13),1,24:53,4,8,.500,0,0,,0,0,,2,18,20,5,0,0,3,3,8,10.1,+10
16,17,2019-11-30,24-284,DEN,@,SAC,L (-3),1,36:29,3,11,.273,0,3,.000,1,2,.500,3,7,10,6,0,1,4,3,7,4.0,-3
17,18,2019-12-03,24-287,DEN,,LAL,L (-9),1,34:24,4,12,.333,0,2,.000,5,6,.833,1,4,5,8,3,0,5,4,13,9.7,-6
18,19,2019-12-05,24-289,DEN,@,NYK,W (+37),1,24:44,3,7,.429,0,1,.000,0,0,,1,9,10,8,0,1,0,2,6,11.2,+10
19,20,2019-12-06,24-290,DEN,@,BOS,L (-13),1,30:40,13,21,.619,1,5,.200,3,3,1.000,4,6,10,4,1,2,1,3,30,28.1,0
20,21,2019-12-08,24-292,DEN,@,BRK,L (-3),1,33:39,10,21,.476,2,6,.333,2,2,1.000,2,9,11,6,0,0,3,3,24,17.4,-10
21,22,2019-12-10,24-294,DEN,@,PHI,L (-5),1,33:10,7,13,.538,1,4,.250,0,0,,0,7,7,11,0,1,2,2,15,16.4,+8
22,23,2019-12-12,24-296,DEN,,POR,W (+15),1,31:01,7,14,.500,2,5,.400,4,6,.667,4,7,11,6,0,0,1,2,20,19.5,+3
23,24,2019-12-14,24-298,DEN,,OKC,W (+8),1,34:53,11,14,.786,3,6,.500,3,4,.750,1,13,14,12,1,0,3,2,28,32.4,+15
24,25,2019-12-15,24-299,DEN,,NYK,W (+6),1,35:48,10,22,.455,2,5,.400,3,4,.750,3,7,10,5,1,1,2,1,25,20.2,+4
25,26,2019-12-18,24-302,DEN,,ORL,W (+9),1,30:31,7,14,.500,2,4,.500,2,2,1.000,3,6,9,12,1,1,4,2,18,20.2,+9
26,27,2019-12-20,24-304,DEN,,MIN,W (+9),1,32:44,10,16,.625,2,4,.500,0,0,,3,7,10,10,0,2,2,4,22,23.8,+12
27,28,2019-12-22,24-306,DEN,@,LAL,W (+24),1,27:23,5,8,.625,1,1,1.000,7,7,1.000,3,3,6,5,1,1,1,3,18,20.4,+12
28,29,2019-12-23,24-307,DEN,@,PHO,W (+2),1,30:53,6,13,.462,4,7,.571,6,6,1.000,1,11,12,10,1,0,2,4,22,23.7,+25
29,30,2019-12-25,24-309,DEN,,NOP,L (-12),1,30:55,8,20,.400,2,5,.400,5,6,.833,4,6,10,4,2,0,5,3,23,15.0,-13
30,31,2019-12-28,24-312,DEN,,MEM,W (+9),1,32:57,12,19,.632,2,5,.400,5,7,.714,2,8,10,10,1,0,1,6,31,30.1,+23
31,32,2019-12-29,24-313,DEN,,SAC,W (+5),1,26:30,7,8,.875,0,0,,3,4,.750,4,4,8,4,1,0,4,3,17,16.4,+8
32,33,2019-12-31,24-315,DEN,@,HOU,L (-26),1,31:59,10,17,.588,0,1,.000,1,1,1.000,2,6,8,4,0,0,6,2,21,12.3,-5
33,34,2020-01-02,24-317,DEN,@,IND,W (+8),1,24:11,7,15,.467,0,3,.000,8,8,1.000,3,4,7,0,0,0,2,5,22,13.6,-9
34,35,2020-01-04,24-319,DEN,@,WAS,L (-14),1,30:20,4,10,.400,1,3,.333,5,7,.714,2,8,10,4,1,0,2,0,14,13.4,0
35,36,2020-01-06,24-321,DEN,@,ATL,W (+8),1,36:50,16,25,.640,4,8,.500,11,16,.688,4,4,8,5,2,1,0,3,47,42.9,0
36,37,2020-01-08,24-323,DEN,@,DAL,W (+1),1,31:15,12,20,.600,4,6,.667,5,8,.625,2,4,6,7,1,1,3,1,33,28.4,-3
37,38,2020-01-11,24-326,DEN,,CLE,L (-8),1,33:35,8,12,.667,2,5,.400,1,1,1.000,3,9,12,5,0,0,1,2,19,20.3,-2
