,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
14,15,2021-01-22,25-338,DEN,@,PHO,W (+4),1,39:42,15,27,.556,1,3,.333,0,1,.000,6,4,10,8,3,0,3,4,31,27.1,-13
15,16,2021-01-23,25-339,DEN,@,PHO,W (+8),1,42:00,9,21,.429,0,0,,11,14,.786,7,15,22,6,1,0,6,3,29,24.1,+8
16,17,2021-01-25,25-341,DEN,@,DAL,W (+4),1,33:55,8,13,.615,0,2,.000,4,4,1.000,3,7,10,4,2,1,6,2,20,17.0,-10
17,18,2021-01-27,25-343,DEN,@,MIA,W (+27),1,34:06,9,14,.643,1,5,.200,2,2,1.000,2,9,11,3,0,1,1,2,21,19.9,+16
18,19,2021-01-29,25-345,DEN,@,SAS,L (-10),1,38:43,14,24,.583,5,11,.455,2,4,.500,1,9,10,5,1,1,4,3,35,26.4,-9
19,20,2021-01-31,25-347,DEN,,UTA,W (+11),1,37:20,17,26,.654,4,4,1.000,9,10,.900,3,9,12,5,2,1,3,2,47,42.4,+14
20,21,2021-02-04,25-351,DEN,@,LAL,L (-21),1,34:56,6,16,.375,0,0,,1,2,.500,3,6,9,6,1,0,3,4,13,8.3,-8
21,22,2021-02-06,25-353,DEN,@,SAC,L (-5),1,41:24,20,33,.606,3,6,.500,7,7,1.000,1,7,8,12,1,3,1,2,50,47.4,+2
22,23,2021-02-08,25-355,DEN,,MIL,L (-13),1,39:06,13,26,.500,3,6,.500,6,6,1.000,3,9,12,6,0,0,0,3,35,29.8,-2
23,24,2021-02-10,25-357,DEN,,CLE,W (+38),1,29:50,5,7,.714,0,0,,2,2,1.000,1,5,6,12,2,0,2,3,12,18.5,+32
24,25,2021-02-12,25-359,DEN,,OKC,W (+2),1,36:37,9,16,.563,2,7,.286,2,2,1.000,3,10,13,9,1,1,2,4,22,23.9,+5
25,26,2021-02-14,25-361,DEN,,LAL,W (+17),1,34:46,8,17,.471,1,5,.200,6,6,1.000,4,12,16,10,0,1,3,2,23,24.6,+16
26,27,2021-02-16,25-363,DEN,@,BOS,L (-13),1,37:33,16,23,.696,3,5,.600,8,8,1.000,3,3,6,5,2,1,3,3,43,38.3,+2
27,28,2021-02-17,25-364,DEN,@,WAS,L (-2),1,36:53,12,21,.571,3,5,.600,6,6,1.000,1,6,7,9,2,0,3,4,33,29.3,+5
28,29,2021-02-19,26-000,DEN,@,CLE,W (+17),1,32:48,5,8,.625,1,2,.500,5,5,1.000,2,10,12,10,4,1,3,2,16,24.7,+13
29,30,2021-02-21,26-002,DEN,@,ATL,L (-8),1,36:42,5,15,.333,2,5,.400,3,4,.750,2,8,10,6,3,0,4,5,15,11.1,-7
30,31,2021-02-23,26-004,DEN,,POR,W (+5),1,37:44,17,32,.531,3,6,.500,4,4,1.000,3,2,5,5,1,0,0,1,41,32.2,0
31,32,2021-02-25,26-006,DEN,,WAS,L (-2),1,37:42,9,18,.500,3,4,.750,3,3,1.000,2,9,11,7,1,2,1,3,24,24.2,-2
32,33,2021-02-27,26-008,DEN,@,OKC,W (+30),1,30:07,8,10,.800,1,2,.500,2,2,1.000,1,10,11,13,2,0,0,3,19,28.8,+34
33,34,2021-03-01,26-010,DEN,@,CHI,W (+6),1,38:25,17,28,.607,0,3,.000,5,5,1.000,2,12,14,9,1,2,1,4,39,37.3,+12
34,35,2021-03-02,26-011,DEN,@,MIL,W (+31),1,36:24,15,23,.652,2,3,.667,5,5,1.000,4,6,10,11,2,0,2,1,37,38.8,+18
35,36,2021-03-04,26-013,DEN,@,IND,W (+10),1,37:00,9,18,.500,1,2,.500,1,2,.500,2,10,12,8,0,0,7,2,20,12.8,-3
36,37,2021-03-12,26-021,DEN,@,MEM,W (+1),1,36:16,13,22,.591,1,2,.500,1,2,.500,2,13,15,7,2,0,1,1,28,28.2,-3
37,38,2021-03-13,26-022,DEN,,DAL,L (-13),1,36:02,10,20,.500,1,5,.200,5,6,.833,2,7,9,11,0,0,4,0,26,22.8,-12
38,39,2021-03-15,26-024,DEN,,IND,W (+15),1,34:14,11,25,.440,2,4,.500,8,10,.800,6,8,14,5,4,1,1,2,32,31.1,-9
39,40,2021-03-17,26-026,DEN,,CHO,W (+25),1,28:37,6,7,.857,0,0,,0,0,,2,8,10,10,0,0,3,2,12,16.5,+27
40,41,2021-03-19,26-028,DEN,,CHI,W (+4),1,42:08,14,23,.609,2,4,.500,4,6,.667,5,10,15,9,2,1,1,4,34,35.6,+5
41,42,2021-03-21,26-030,DEN,,NOP,L (-5),1,34:37,13,19,.684,3,4,.750,0,0,,3,7,10,10,1,1,5,3,29,27.6,+3
42,43,2021-03-23,26-032,DEN,@,ORL,W (+11),1,36:15,11,17,.647,2,4,.500,4,4,1.000,4,11,15,10,2,1,3,2,28,32.5,+11
43,44,2021-03-24,26-033,DEN,@,TOR,L (-24),1,29:38,8,14,.571,0,2,.000,4,4,1.000,4,6,10,5,1,0,4,1,20,18.1,-13
44,45,2021-03-26,26-035,DEN,@,NOP,W (+5),1,41:07,17,30,.567,3,5,.600,0,0,,2,4,6,9,2,1,1,3,37,32.2,+23
45,46,2021-03-28,26-037,DEN,,ATL,W (+24),1,28:13,7,12,.583,1,2,.500,1,2,.500,3,7,10,8,1,2,0,0,16,22.2,+20
46,47,2021-03-30,26-039,DEN,,PHI,W (+9),1,34:25,8,14,.571,0,1,.000,5,6,.833,3,7,10,5,0,0,5,1,21,16.3,+8
47,48,2021-04-01,26-041,DEN,@,LAC,W (+7),1,35:50,6,16,.375,2,3,.667,0,0,,1,6,7,7,0,1,4,3,14,8.1,+13
48,49,2021-04-04,26-044,DEN,,ORL,W (+10),1,37:42,5,11,.455,0,1,.000,7,9,.778,2,7,9,16,1,0,4,4,17,20.6,+15
49,50,2021-04-06,26-046,DEN,,DET,W (+15),1,26:46,13,16,.813,0,0,,1,2,.500,2,6,8,11,1,1,1,3,27,31.0,+9
50,51,2021-04-07,26-047,DEN,,SAS,W (+10),1,30:27,11,18,.611,0,2,.000,3,4,.750,1,8,9,10,1,0,6,0,25,21.5,+5
51,52,2021-04-09,26-049,DEN,,SAS,W (+2),1,38:22,9,17,.529,2,2,1.000,6,6,1.000,5,8,13,14,1,0,6,4,26,26.8,+7
52,53,2021-04-11,26-051,DEN,,BOS,L (-18),1,31:30,6,15,.400,0,2,.000,5,7,.714,2,8,10,11,1,1,2,3,17,18.1,+9
53,54,2021-04-12,26-052,DEN,@,GSW,L (-9),1,37:17,10,21,.476,1,5,.200,6,8,.750,4,8,12,8,1,1,4,1,27,23.6,-14
54,55,2021-04-14,26-054,DEN,,MIA,W (+17),1,32:02,6,14,.429,1,2,.500,4,5,.800,4,6,10,11,1,2,2,3,17,20.7,+7
55,56,2021-04-16,26-056,DEN,@,HOU,W (+29),1,27:05,10,12,.833,1,1,1.000,8,9,.889,6,10,16,7,2,0,0,3,29,37.1,+9
56,57,2021-04-19,26-059,DEN,,MEM,W (+2),1,45:04,20,31,.645,2,6,.333,5,6,.833,7,8,15,8,0,1,7,3,47,38.3,+3
57,58,2021-04-21,26-061,DEN,@,POR,W (+1),1,35:38,9,18,.500,1,6,.167,6,7,.857,4,5,9,5,0,1,4,0,25,20.1,+3
58,59,2021-04-23,26-063,DEN,@,GSW,L (-21),1,33:24,7,16,.438,0,3,.000,5,5,1.000,0,6,6,6,0,0,1,2,19,14.8,-18
59,60,2021-04-24,26-064,DEN,,HOU,W (+13),1,29:01,10,14,.714,0,0,,4,6,.667,0,8,8,12,1,1,4,4,24,24.3,+10
60,61,2021-04-26,26-066,DEN,,MEM,W (+24),1,29:40,6,12,.500,2,3,.667,10,10,1.000,1,14,15,5,2,0,6,3,24,21.2,+11
61,62,2021-04-28,26-068,DEN,,NOP,W (+2),1,36:29,12,20,.600,2,4,.500,6,8,.750,0,7,7,8,3,3,6,1,32,28.4,+7
62,63,2021-04-29,26-069,DEN,,TOR,W (+10),1,28:26,8,13,.615,2,3,.667,1,1,1.000,4,7,11,2,1,0,1,1,19,19.0,-4
63,64,2021-05-01,26-071,DEN,@,LAC,W (+6),1,33:22,9,17,.529,2,6,.333,10,10,1.000,2,12,14,7,0,1,0,4,30,30.7,-3
64,65,2021-05-03,26-073,DEN,@,LAL,L (-4),1,35:36,12,28,.429,1,4,.250,7,8,.875,3,6,9,5,2,1,2,4,32,23.3,+3
65,66,2021-05-05,26-075,DEN,,NYK,W (+16),1,29:07,10,16,.625,0,2,.000,12,15,.800,3,9,12,6,2,2,4,3,32,30.8,+15
66,67,2021-05-07,26-077,DEN,@,UTA,L (-7),1,35:02,9,11,.818,2,2,1.000,4,4,1.000,2,7,9,13,0,1,5,5,24,26.2,-4
67,68,2021-05-08,26-078,DEN,,BRK,L (-6),1,36:56,10,21,.476,0,5,.000,9,9,1.000,3,4,7,6,0,0,5,3,29,19.6,+3
68,69,2021-05-11,26-081,DEN,@,CHO,W (+5),1,32:57,7,16,.438,0,2,.000,16,17,.941,2,9,11,6,0,0,2,2,30,26.7,+12
69,70,2021-05-13,26-083,DEN,@,MIN,W (+11),1,32:14,14,21,.667,0,3,.000,3,3,1.000,6,8,14,4,1,1,2,2,31,30.2,+8
70,71,2021-05-14,26-084,DEN,@,DET,W (+13),1,26:28,7,11,.636,0,0,,6,7,.857,3,12,15,11,0,0,1,2,20,26.3,+18
71,72,2021-05-16,26-086,DEN,@,POR,L (-16),1,16:41,9,17,.529,0,3,.000,3,3,1.000,1,2,3,2,1,0,1,3,21,14.2,-13
