,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2020-12-23,25-308,DEN,,SAC,L (-2),1,41:50,11,18,.611,1,2,.500,6,9,.667,3,12,15,14,0,2,6,3,29,29.3,+5
1,2,2020-12-25,25-310,DEN,,LAC,L (-13),1,38:29,7,13,.538,1,4,.250,9,11,.818,3,6,9,10,1,0,5,2,24,23.0,-20
2,3,2020-12-28,25-313,DEN,,HOU,W (+13),1,34:07,8,11,.727,1,1,1.000,2,3,.667,4,8,12,18,3,1,3,2,19,31.8,+20
3,4,2020-12-29,25-314,DEN,@,SAC,L (-10),1,38:33,9,14,.643,1,3,.333,7,7,1.000,1,9,10,12,2,0,10,4,26,22.0,+1
4,5,2021-01-01,25-317,DEN,,PHO,L (-3),1,29:31,7,13,.538,3,5,.600,0,0,,3,6,9,11,1,0,1,5,17,20.3,+1
5,6,2021-01-03,25-319,DEN,@,MIN,W (+15),1,31:42,8,12,.667,0,1,.000,3,3,1.000,3,9,12,12,0,0,7,5,19,18.0,+27
6,7,2021-01-05,25-321,DEN,,MIN,W (+7),1,36:34,12,20,.600,1,1,1.000,10,12,.833,5,10,15,6,3,1,4,5,35,33.4,+13
7,8,2021-01-07,25-323,DEN,,DAL,L (-7),1,41:13,14,31,.452,4,10,.400,6,10,.600,1,10,11,4,2,0,3,4,38,24.2,-6
8,9,2021-01-09,25-325,DEN,@,PHI,W (+12),1,29:02,6,8,.750,0,0,,3,3,1.000,1,8,9,12,0,0,4,2,15,18.5,+24
9,10,2021-01-10,25-326,DEN,@,NYK,W (+25),1,30:04,9,15,.600,1,3,.333,3,3,1.000,3,7,10,5,1,1,2,1,22,22.1,+8
10,11,2021-01-12,25-328,DEN,@,BRK,L (-6),1,34:20,8,17,.471,1,4,.250,6,6,1.000,1,7,8,11,7,1,1,2,23,30.7,-11
11,12,2021-01-14,25-330,DEN,,GSW,W (+10),1,35:54,8,16,.500,0,4,.000,7,7,1.000,1,13,14,10,3,0,3,4,23,25.0,+10
12,13,2021-01-17,25-333,DEN,,UTA,L (-4),1,39:50,14,23,.609,3,6,.500,4,4,1.000,8,6,14,9,2,1,6,4,35,33.3,+6
13,14,2021-01-19,25-335,DEN,,OKC,W (+18),1,28:24,12,21,.571,0,4,.000,3,3,1.000,5,7,12,6,1,1,1,2,27,26.8,+12
